fdate,doubleq,avgRET
31mar2004,6,.15974125
31mar2004,7,.068204805
31mar2004,8,.067553639
31mar2004,9,.031429704
31mar2004,10,.043126792
31mar2004,11,.1330644
31mar2004,12,.11332227
31mar2004,13,.059755858
31mar2004,14,.070539318
31mar2004,15,.033897936
31mar2004,16,.12778349
31mar2004,17,.088766985
31mar2004,18,.094179131
31mar2004,19,.065003864
31mar2004,20,.020196915
31mar2004,21,.046611182
31mar2004,22,.018235408
31mar2004,23,.057096604
31mar2004,24,.054480702
31mar2004,25,.021301681
30jun2004,1,-.03543891
30jun2004,2,-.021845952
30jun2004,3,-.009430225
30jun2004,4,.0077656852
30jun2004,5,-.028074065
30jun2004,6,-.0024648739
30jun2004,7,-.014642471
30jun2004,8,-.011712975
30jun2004,9,-.039211653
30jun2004,10,-.062955149
30jun2004,11,.015198345
30jun2004,12,-.013520569
30jun2004,13,.001680642
30jun2004,14,.017226893
30jun2004,15,-.019632196
30jun2004,16,.069817171
30jun2004,17,.033316713
30jun2004,18,.0073459614
30jun2004,19,.017134255
30jun2004,20,-.0092753367
30jun2004,21,.04049933
30jun2004,22,.02886582
30jun2004,23,.013897479
30jun2004,24,-.0094396817
30jun2004,25,.029806938
30sep2004,1,-.072240382
30sep2004,2,-.066013329
30sep2004,3,-.020822022
30sep2004,4,.011128407
30sep2004,5,-.044553921
30sep2004,6,-.020349564
30sep2004,7,-.062096369
30sep2004,8,-.029296601
30sep2004,9,-.061408103
30sep2004,10,-.045593679
30sep2004,11,.031445701
30sep2004,12,.0074570612
30sep2004,13,-.017171137
30sep2004,14,-.05944436
30sep2004,15,-.044893693
30sep2004,16,.014808849
30sep2004,17,.006924998
30sep2004,18,.0083544189
30sep2004,19,-.0064560496
30sep2004,20,-.0099317022
30sep2004,21,-.021734977
30sep2004,22,-.018417569
30sep2004,23,.040294752
30sep2004,24,.031892203
30sep2004,25,.025241919
31dec2004,1,.31757045
31dec2004,2,.30195901
31dec2004,3,.20701864
31dec2004,4,.11984628
31dec2004,5,.07632865
31dec2004,6,.3977626
31dec2004,7,.17844866
31dec2004,8,.17077067
31dec2004,9,.11861349
31dec2004,10,.12512581
31dec2004,11,.2532697
31dec2004,12,.19254982
31dec2004,13,.16371407
31dec2004,14,.1136781
31dec2004,15,.11753525
31dec2004,16,.21294685
31dec2004,17,.16222702
31dec2004,18,.123996
31dec2004,19,.14629506
31dec2004,20,.12287482
31dec2004,21,.11205457
31dec2004,22,.11205129
31dec2004,23,.12180698
31dec2004,24,.10365277
31dec2004,25,.10315912
31mar2005,1,-.011393114
31mar2005,2,-.033736866
31mar2005,3,-.02784322
31mar2005,4,-.044799224
31mar2005,5,-.065888777
31mar2005,6,-.061968993
31mar2005,7,-.040095933
31mar2005,8,-.079813331
31mar2005,9,-.086057596
31mar2005,10,-.080312222
31mar2005,11,-.05028018
31mar2005,12,-.0097551076
31mar2005,13,-.041791696
31mar2005,14,-.06378676
31mar2005,15,-.062283866
31mar2005,16,-.00048904784
31mar2005,17,-.021557542
31mar2005,18,-.016926602
31mar2005,19,-.015991455
31mar2005,20,-.033898916
31mar2005,21,-.015773704
31mar2005,22,.023214158
31mar2005,23,.0080405241
31mar2005,24,.016983358
31mar2005,25,-.0034146213
30jun2005,1,-.035631206
30jun2005,2,.0581179
30jun2005,3,.015503687
30jun2005,4,-.010424051
30jun2005,5,-.05003155
30jun2005,6,.10298199
30jun2005,7,.087421425
30jun2005,8,.019738512
30jun2005,9,.0089626526
30jun2005,10,-.0044505117
30jun2005,11,.12620975
30jun2005,12,.093322203
30jun2005,13,.036058169
30jun2005,14,.028156035
30jun2005,15,.021728873
30jun2005,16,.14115645
30jun2005,17,.071575001
30jun2005,18,.048172057
30jun2005,19,.042275798
30jun2005,20,.038772803
30jun2005,21,.034297567
30jun2005,22,.023547741
30jun2005,23,.041824736
30jun2005,24,.040849447
30jun2005,25,.040338773
30sep2005,1,.08109609
30sep2005,2,.090206474
30sep2005,3,.059420783
30sep2005,4,.040090889
30sep2005,5,.014192406
30sep2005,6,.18500794
30sep2005,7,.15721253
30sep2005,8,.063167401
30sep2005,9,.033441089
30sep2005,10,.0012637184
30sep2005,11,.14039293
30sep2005,12,.12159616
30sep2005,13,.064753681
30sep2005,14,.023896176
30sep2005,15,-.025947627
30sep2005,16,.1653827
30sep2005,17,.086974874
30sep2005,18,.084224336
30sep2005,19,.039058875
30sep2005,20,.010887185
30sep2005,21,.19926354
30sep2005,22,.085200161
30sep2005,23,.063822627
30sep2005,24,.07359872
30sep2005,25,.054642312
31dec2005,1,.015694978
31dec2005,2,.040594768
31dec2005,3,.033216067
31dec2005,4,.00064232864
31dec2005,5,-.055535287
31dec2005,6,.11082517
31dec2005,7,.051795058
31dec2005,8,.016197527
31dec2005,9,.0059616934
31dec2005,10,-.011149977
31dec2005,11,.089035146
31dec2005,12,.056439046
31dec2005,13,.014350726
31dec2005,14,.037151892
31dec2005,15,-.012640589
31dec2005,16,.085728914
31dec2005,17,.037430983
31dec2005,18,.043310318
31dec2005,19,-.004789358
31dec2005,20,-.01463385
31dec2005,21,.007373089
