date,mgrsizeq,avgRET
31/03/2015,7,.028825687
31/03/2015,8,.028668167
31/03/2015,9,.028021665
31/03/2015,10,.028683068
30/06/2015,1,.01405715
30/06/2015,2,.014191246
30/06/2015,3,.01418082
30/06/2015,4,.014047058
30/06/2015,5,.014129628
30/06/2015,6,.014233525
30/06/2015,7,.014202167
30/06/2015,8,.01377076
30/06/2015,9,.014124988
30/06/2015,10,.012971608
30/09/2015,1,-.069776453
30/09/2015,2,-.069806769
30/09/2015,3,-.070155345
30/09/2015,4,-.069761731
30/09/2015,5,-.069649763
30/09/2015,6,-.069459036
30/09/2015,7,-.069581762
30/09/2015,8,-.068787567
30/09/2015,9,-.068719156
30/09/2015,10,-.068655975
31/12/2015,1,.064916268
31/12/2015,2,.064873286
31/12/2015,3,.065193087
31/12/2015,4,.064913034
31/12/2015,5,.064901911
31/12/2015,6,.064818561
31/12/2015,7,.064815357
31/12/2015,8,.065059744
31/12/2015,9,.066257812
31/12/2015,10,.064598538
31/03/2016,1,.019219425
31/03/2016,2,.019230722
31/03/2016,3,.018747494
31/03/2016,4,.019112149
31/03/2016,5,.018707218
31/03/2016,6,.018629568
31/03/2016,7,.019107407
31/03/2016,8,.018630814
31/03/2016,9,.016469989
31/03/2016,10,.020795587
30/06/2016,1,.039157175
30/06/2016,2,.039112482
30/06/2016,3,.039128039
30/06/2016,4,.039196149
30/06/2016,5,.039105691
30/06/2016,6,.039145887
30/06/2016,7,.039147127
30/06/2016,8,.039103083
30/06/2016,9,.038800232
30/06/2016,10,.040401816
30/09/2016,1,.059765313
30/09/2016,2,.059748121
30/09/2016,3,.059726201
30/09/2016,4,.059648015
30/09/2016,5,.059741545
30/09/2016,6,.05964268
30/09/2016,7,.05965659
30/09/2016,8,.059465997
30/09/2016,9,.059890985
30/09/2016,10,.05947008
31/12/2016,1,.04338171
31/12/2016,2,.043443359
31/12/2016,3,.043385379
31/12/2016,4,.043590415
31/12/2016,5,.043569334
31/12/2016,6,.04369197
31/12/2016,7,.043701485
31/12/2016,8,.043839771
31/12/2016,9,.044422347
31/12/2016,10,.044382013
31/03/2017,1,.075295858
31/03/2017,2,.075285442
31/03/2017,3,.07523904
31/03/2017,4,.07527563
31/03/2017,5,.075277872
31/03/2017,6,.075296313
31/03/2017,7,.075278819
31/03/2017,8,.075049669
31/03/2017,9,.076450631
31/03/2017,10,.075671606
30/06/2017,1,.042110596
30/06/2017,2,.042062763
30/06/2017,3,.04228323
30/06/2017,4,.042101916
30/06/2017,5,.042290006
30/06/2017,6,.042103224
30/06/2017,7,.042109422
30/06/2017,8,.04228694
30/06/2017,9,.044022609
30/06/2017,10,.042595219
30/09/2017,1,.061020296
30/09/2017,2,.061005253
30/09/2017,3,.060830466
30/09/2017,4,.061021633
30/09/2017,5,.060886413
30/09/2017,6,.061051637
30/09/2017,7,.06099584
30/09/2017,8,.060934797
30/09/2017,9,.060614642
30/09/2017,10,.061439138
31/12/2017,1,.068349868
31/12/2017,2,.068377234
31/12/2017,3,.068520874
31/12/2017,4,.068355203
31/12/2017,5,.06849914
31/12/2017,6,.068403706
31/12/2017,7,.068378732
31/12/2017,8,.068404771
31/12/2017,9,.07030794
31/12/2017,10,.068777218
31/03/2018,1,.003409042
31/03/2018,2,.0033865159
31/03/2018,3,.0031779832
31/03/2018,4,.0031998225
31/03/2018,5,.0032514841
31/03/2018,6,.0034364578
31/03/2018,7,.0033802136
31/03/2018,8,.0033942976
31/03/2018,9,.0060404795
31/03/2018,10,.0038000122
30/06/2018,1,.0376154
30/06/2018,2,.037986565
30/06/2018,3,.037574384
30/06/2018,4,.03797438
30/06/2018,5,.037655953
30/06/2018,6,.038040049
30/06/2018,7,.03763251
30/06/2018,8,.038334928
30/06/2018,9,.038346816
30/06/2018,10,.038737778
30/09/2018,1,.06597098
30/09/2018,2,.066030666
