date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,char
2000-12-01,0.0444726646,0.0533916457,0.050830312,0.0558882851,0.0505872581,0.0021666636,0.0911704151,-0.035346,-0.026376271,-0.026007014,1
2001-01-01,-0.006734801,0.0111342378,-0.003892002,-0.001500951,-0.020145766,-0.04216097,0.0046340327,-0.015319424,0.1844146358,0.2149857753,1
2001-02-01,-0.169546024,-0.189848931,-0.171900551,-0.123911416,-0.096275355,-0.080228445,-0.097186873,-0.028875321,-0.020089404,-0.02904327,1
2001-03-01,-0.035453206,-0.018939053,-0.05152073,-0.047764285,-0.053076042,-0.055463773,-0.039151552,-0.045930114,-0.051136413,-0.17227372,1
2001-04-01,0.0503351869,0.0359460344,0.0438108569,0.0611863981,0.0489412023,0.0582221311,0.0842781876,0.1094649905,0.093935415,0.2104502374,1
2001-05-01,-0.021892563,-0.010996966,0.0084569593,0.0168180684,0.0185618758,-0.001081073,0.0238859707,0.0217417328,0.0322654802,0.0528685075,1
2001-06-01,0.0337999511,-0.00869888,-0.045965602,-0.004967425,-0.014414216,0.0002385227,-0.02235548,-0.036733199,0.0064798175,-0.019412667,1
2001-07-01,-0.085277958,-0.023124922,-0.021352234,-0.001702929,-0.038057559,-0.048875302,0.0330260743,0.0103776561,-0.000107621,-0.063946909,1
2001-08-01,-0.072281404,-0.039765488,-0.038623998,-0.066888502,-0.043270073,-0.033671101,-0.074663934,-0.064655167,-0.069727291,-0.134144537,1
2001-09-01,-0.089569635,-0.071691085,-0.065192475,-0.062867383,-0.063211407,-0.054337775,-0.120886933,-0.035161248,-0.126109369,-0.198153433,1
2001-10-01,-0.021680637,-0.029257364,-0.005230478,0.0007292297,0.0482473832,0.0604041827,0.0536509319,0.0369378613,0.1614555785,0.1938389119,1
2001-11-01,0.1533423171,0.1131469977,0.0860359549,0.1035825528,0.0559406728,0.0381609319,0.0584131282,0.0852672503,0.0682348253,0.0392569219,1
2001-12-01,0.0214093597,-0.006669524,0.0096585254,0.0177638211,0.0339362922,0.014018473,-0.001493599,0.0219295559,0.0386757144,0.0488306331,1
2002-01-01,-0.055537681,-0.028465409,-0.012213124,-0.019592467,-0.014239191,-0.021012768,-0.004979646,-0.006306127,0.0131171806,-0.021724085,1
2002-02-01,-0.080495183,-0.082443108,-0.00211764,0.0005814662,0.0007372663,0.0123987606,-0.021311168,-0.017319935,-0.000586995,-0.106250427,1
2002-03-01,0.0480882695,0.0290557941,0.044805155,0.0107332772,0.0449704429,0.0341521051,0.0239332825,0.0367242963,0.0623510429,0.1149280106,1
2002-04-01,-0.086415946,-0.075787728,-0.045645113,-0.038872082,-0.021635574,-0.029873068,-0.049872807,-0.021654808,-0.062208488,-0.103164678,1
2002-05-01,-0.023493052,-0.009868472,-0.012599988,0.0035992314,0.0029306258,-0.015107499,-0.003669928,-0.008914933,-0.022319017,-0.020010708,1
2002-06-01,-0.093107664,-0.088710993,-0.061158566,-0.056282434,-0.039971948,-0.062855956,-0.056800654,-0.085915352,-0.118239163,-0.118421942,1
2002-07-01,-0.105444705,-0.11725847,-0.091279278,-0.068990444,-0.07393293,-0.039232533,-0.105017322,-0.078729921,-0.063886183,-0.080762014,1
2002-08-01,-0.010941277,0.0031522764,0.0365412142,0.0007185302,-0.002875947,0.0308284584,-0.006641495,0.0142454969,0.0161012032,0.0461458449,1
2002-09-01,-0.095628099,-0.109678014,-0.118183976,-0.092698437,-0.078726579,-0.094374908,-0.086324474,-0.118046872,-0.126591147,-0.137376139,1
2002-10-01,-0.004689087,0.0198029266,0.0700052446,0.0399847819,0.0681980614,0.0838731187,0.117849624,0.0689835896,0.1024523176,0.1434597263,1
2002-11-01,0.1137152556,0.0614874802,0.0193824619,0.0626356641,0.0251066602,0.0436332475,0.0154260015,0.0864590068,0.091885862,0.117114586,1
2002-12-01,-0.149644377,-0.119904359,-0.09497034,-0.076287168,-0.067285246,-0.052017613,-0.020726736,-0.017629241,-0.006167057,0.0111587072,1
2003-01-01,-0.032031776,-0.040665303,-0.006463534,-0.012189955,-0.024661307,-0.025331822,-0.045031529,-0.032801976,-0.022371068,-0.00177451,1
2003-02-01,-0.010439872,-0.017263425,-0.020273928,-0.015294841,-0.020027305,-0.026015088,-0.010076918,-0.027736456,-0.01125385,-0.035646579,1
2003-03-01,0.0059276374,0.0157424151,-0.01268343,0.010512033,0.0213439254,0.0273417642,0.0147244894,0.0091319113,0.000303119,0.0061593162,1
2003-04-01,0.083893289,0.0609880537,0.08494058,0.0659595029,0.061561055,0.0858128314,0.0941400461,0.0988933853,0.1253619155,0.1326137043,1
2003-05-01,0.1453472266,0.0654508722,0.0559792188,0.057390881,0.0461883343,0.0422211931,0.0337658225,0.1018457331,0.0575092816,0.092776257,1
2003-06-01,0.0446476242,0.0164682502,0.0144678931,0.0062442029,0.0153912233,0.0132674172,-0.006095951,0.0226513102,0.0138424522,0.0245068282,1
2003-07-01,0.0380738774,-0.016240732,0.0272701602,0.0242466789,0.0305033941,0.0032556236,0.043588552,0.0236705221,0.043535717,0.0368654591,1
2003-08-01,0.0403518946,0.0449600906,0.0417791851,0.0170364534,0.0150919663,0.0197492611,0.0260336585,0.0056584819,0.025272307,0.0306055837,1
2003-09-01,-0.04279486,-0.046950376,-0.03816346,-0.031987641,-0.018693007,-0.001812881,0.0092619427,0.007891454,0.006380401,0.0030477483,1
2003-10-01,0.0858840624,0.02862856,0.0603215379,0.0340025311,0.0608651332,0.0488126625,0.0978613191,0.0738003417,0.0839333291,0.0981465632,1
2003-11-01,0.0360917661,0.0134960184,0.0216797797,0.0097742668,0.0219698811,-0.003265768,0.0236480496,0.021924102,0.012418154,-0.007591537,1
2003-12-01,0.0082626595,0.0299937805,0.0371090055,0.0224521234,0.0460596413,0.0399364112,0.0491140061,0.0612806165,0.0585358332,0.0304459727,1
2004-01-01,0.0053609103,0.0081875291,0.0126077774,0.0225286729,0.0301544522,0.030438905,0.0210179521,0.0371535146,0.0083484478,0.0529330567,1
2004-02-01,0.0068444686,0.0112367814,0.0050526514,0.0035686779,0.0144955219,0.0251225776,0.0304194397,0.0209726503,0.0034223307,0.0120752545,1
2004-03-01,0.0075750035,-0.00474044,-0.008213038,-0.005824903,-0.013980052,-0.003775524,-0.013157797,-0.031380228,-0.022337638,-0.012815349,1
2004-04-01,-0.034483962,-0.022509479,-0.010842274,-0.029438786,-0.030721109,-0.000862151,-0.009617965,-0.001194507,-0.020904803,-0.021505188,1
2004-05-01,0.0177437942,0.0004569972,0.0067720063,-0.004180696,0.0014895643,0.0190744045,0.0244518493,0.0123494619,0.0292983029,0.0487295178,1
